ticker,variant,deployed_cagr,edge_vs_bh,bps_per_day,intrade_sharpe,win_rate,round_trips,med_days_per_trade,days_in_trade,bh_days,total_return
RCL,R1_share_ge50,0.7134,0.6064,21.37,1.455,0.857,35,15.0,1116,2514,9.8557
FRC,R1_share_ge50,0.0574,0.5815,2.22,0.34,0.611,18,23.0,651,1089,0.1552
GNRC,R1_share_ge50,0.3959,0.5516,13.24,0.887,0.647,17,18.0,428,1202,0.7621
GNRC,R1_confirmed,0.3764,0.5321,12.68,0.893,0.682,22,20.0,611,1202,1.1698
MRO,R1_share_ge50,0.6195,0.5229,19.13,1.204,0.75,28,32.0,1034,2238,6.2306
TWTR,R1_share_ge50,0.5305,0.4618,16.89,1.115,0.867,15,28.0,542,1107,1.4975
HWM,ANT_all,0.9079,0.4173,25.64,2.169,0.92,25,26.0,733,1172,5.5475
SNPS,R1_share_ge50,0.6574,0.4157,20.05,1.784,0.854,41,15.0,881,2212,4.8494
HWM,ANT_pup50,0.8814,0.3908,25.08,2.118,0.88,25,26.0,725,1172,5.1614
HWM,ANT_pup60,0.8752,0.3846,24.95,2.171,0.92,25,26.0,700,1172,4.7338
NVDA,R1_share_ge50,1.0905,0.3685,29.26,1.779,0.73,37,21.0,997,2514,17.4939
FTI,R1_share_ge50,0.1705,0.3532,6.25,0.564,0.688,16,26.5,577,1287,0.434
HWM,ANT_pup70,0.8198,0.3292,23.76,2.079,0.88,25,26.0,689,1172,4.1399
LNC,R1_confirmed,0.2462,0.3282,8.74,0.729,0.593,27,34.0,1282,1939,2.0645
NVDA,R1_confirmed,1.0436,0.3216,28.36,1.719,0.792,48,22.5,1368,2514,47.4144
LNC,R1_share_ge50,0.2236,0.3056,8.01,0.711,0.696,23,36.0,1071,1939,1.3573
TSS,R1_share_ge50,0.6098,0.3052,18.89,1.901,0.867,15,17.0,332,933,0.8725
UNM,R1_share_ge50,0.2447,0.2986,8.69,0.779,0.733,15,23.0,930,1438,1.2429
TDG,R1_share_ge50,0.4817,0.2983,15.6,1.561,0.861,36,14.5,1134,2409,4.8678
LLL,R1_share_ge50,0.5267,0.2977,16.79,2.104,0.875,16,19.5,327,878,0.7316
IDXX,R1_confirmed,0.5063,0.289,16.26,1.378,0.8,45,21.0,1272,2260,6.9085
RCL,R1_confirmed,0.395,0.288,13.21,0.915,0.825,40,22.0,1479,2514,6.0548
CBRE,R1_share_ge50,0.4509,0.2844,14.77,1.337,0.78,41,19.0,1020,2514,3.5108
ADSK,R1_share_ge50,0.4514,0.2797,14.78,1.339,0.8,40,23.0,1157,2514,4.5305
PSX,R1_share_ge50,0.3236,0.2768,11.13,1.047,0.771,35,25.0,1215,2514,2.8644
SLB,R1_confirmed,0.2154,0.2735,7.74,0.698,0.674,43,25.0,1680,2514,2.6709
STI,R1_share_ge50,0.4062,0.2725,13.53,1.593,0.933,15,17.0,516,990,1.0096
AMD,R1_confirmed,0.6394,0.2688,19.62,1.191,0.775,40,18.0,1363,2210,13.4953
NBL,R1_confirmed,0.0185,0.2673,0.73,0.269,0.667,15,24.0,892,1197,0.0672
URI,R1_share_ge50,0.5389,0.2654,17.11,1.177,0.789,38,25.0,1209,2514,6.911
PKI,R1_share_ge50,0.3749,0.2652,12.63,1.241,0.735,34,15.0,681,1854,1.3642
APA,R1_share_ge50,0.2069,0.2651,7.46,0.613,0.647,34,26.0,1306,2514,1.6503
AAPL,R1_share_ge50,0.5264,0.2627,16.78,1.57,0.806,36,15.5,801,2514,2.8356
UNM,R1_confirmed,0.2085,0.2624,7.51,0.697,0.688,16,27.0,1059,1438,1.2162
INFO,R1_share_ge50,0.4554,0.2597,14.89,1.946,0.85,20,14.5,374,1193,0.7453
MS,R1_share_ge50,0.4461,0.258,14.64,1.4,0.78,41,20.0,1121,2514,4.1596
LRCX,R1_share_ge50,0.6153,0.2549,19.03,1.422,0.75,44,18.0,1101,2514,7.1254
INFO,R1_confirmed,0.449,0.2533,14.72,1.927,0.885,26,16.0,623,1193,1.5016
INFO,ANT_pup50,0.4487,0.253,14.71,1.85,0.889,27,22.0,760,1193,2.0583
PKI,R1_confirmed,0.3625,0.2528,12.28,1.218,0.75,40,20.5,919,1854,2.09
